chocolate,raymondxencinas,963484530,574243609437843457
drunk,pauliherrera_m,26774046,574468492524527616
hungry,foreverjesss__,489778032,574630371855224833
drunk,bhlesley,620745561,574651184721473536
starbucks,Eleeeen_xo,1046398573,574640015751299072
foods,stevekado,874741267,572899193481609218
foods,Nasara_Gargonnu,19148978,573718776300109824
innout,_lisssssss,1031957671,572618374573768704
fries,pattymarieee,424037742,574072301190184960
coffee,AmberrVasquez,2351066898,574471217597579265
kfc,_YOUNGBABY_,186186656,574397225985437697
yummy,THEgfJules,40946378,574627246754791425
wine,aurorag09,1713959922,574472730482884608
drunk,susana_323,2184692857,574632691804459008
hungry,SpideRhon,49281205,574546942606233600
snack,jessiehessie1,158102004,573611619562971136
cookies,TheLizzyLove,457831385,574388433155547136
food,heyyyella,26139169,574592713846226948
fries,natipoonanny,2936552316,574052277398339584
dessert,BundtsOnMelrose,1967245148,574053919451574272
cooking,CKscullycat,89533742,573565944313720832
ice cream,vinylsync,2377585609,574440942863654913
foodie,Antology,23910392,574063434716811265
hungry,cakeonmykeys,554251899,574345997997842433
breakfast,petefavat,902539140,574627615694172160
burgers,LondonLuxxxe,499237134,574465950960910336
wine,xokaren_,109169522,574100201238962176
dinner,jakekaihewalu,213029984,574422886917636096
wine,sassykarina,520879158,574492501144305664
pizza,CHARGERCHICK310,50719962,574399272143060993
brewery,tomkehn,233257349,572578104369160194
dessert,filipinokitchen,2402757463,574398739802013697
pizza,kaatyo_,2287712310,574471504773050368
lunch,KarlyMag,36385645,574347321275772928
innout,claumarinr,123414857,574118694663684096
drunk,firmeprincess,1029895170,574644455686336512
foods,brielley,20707583,573929088785612800
brewery,runrick2000,249170346,572136870408290304
desserts,filipinokitchen,2402757463,574407617444847617
brewery,Chef_Ponderozae,25195084,574339095981391873
cooking,T3hTrico,1932895675,573392510757703680
taco bell,emm8nuel,929680968,573385952271319040
mcdonald,Mj3__,273778833,573966075391426561
yum,BeverlyJRollins,32251134,573323540486889472
hungry,thisirishguy,18827960,574412538382839810
food,SAMYbear93,451934728,574640183791869952
donut,e2212,85959127,572278096868605953
bored,YupSheCalimade,172138272,574482837526597633
taco bell,badgaljenjen,443476140,572796904058167296
starbucks,aida__1233,1562249768,574613637169467393
breakfast,wilchan0313,25780852,574616555067170816
mcdonald,eddieg800,2814373808,572672320285757440
pasta,narydairy,930089666,572890475314618368
craftbeer,ladyfaceale,119147460,573685370975428609
snack,clevercreative,26060039,574229063612563457
dessert,E_Aladen,3043129724,574018404346036224
taco bell,ewww_hannah,2245986349,573377675898691584
yummy,redstr718,15464753,574053041332080640
pasta,LMUHospitality,171679972,573625606799228928
organic,theSHARPmethod,285314120,573614369449336832
yummy,phd_fashionista,51918255,574345434765860864
cookies,alexpandriaa,432066085,574433240271843328
donut,maaaalcolm,2549362369,573282706982756352
foodie,sarahgraves,18627561,574404087611064321
bored,timmyxbwers,389292660,574639090433331200
ice cream,PG1Trey,1834556052,574342796309454849
organic,kirakosarin,598986879,572610147224174593
feast,marquitos0305,449546303,573282771478528000
nom,MadisunLeigh,32332140,572925664048754688
ice cream,34PHZ,18282432,574523110361165824
burgers,primey,14523328,574308192760524800
wine,AlanSemsar,583982926,574319813356429312
sweet,Teen_Wolf_Oasis,2658997716,574653228840693761
yum,TinaJanan,345034935,574293656556990464
lunch,ChristinaMinhLA,813011864,574344067619946500
brewery,sarah_sprague,13612212,573349883911917569
chocolate,quajeln,619577068,574071724800499712
breakfast,jennbunnnyyy,50188994,574624942907506688
foods,RevFoodsCareers,2732492768,574070078620090368
wine,iAMSTEVEJONES,152164032,574087795423084544
organic,deadponies,14495532,573669218354339840
vegetarian,LA_Hutchinson,2317453836,574412898744696832
fries,AgentArmageddn,1011595772,574331606724440064
organic,theSHARPmethod,285314120,572993880196558848
fries,RoryGeorge,14239193,574033330875686912
drunk,ShiShuJennifer,303471879,574607218768642049
donut,TimMajor707,34745002,573390813054541824
bored,jaedizzle_,1580687772,574489500031676417
drunk,PrttyNellz,40108470,574520144350699520
lunch,cynthiabruhh,2874591026,574487040059777024
foodporn,GallerJoe,2951055816,574391710559510528
chocolate,Irisnicolex3,344866628,574105061992738816
coffee,lilred61636,91224664,574606423339888640
organic,ChelseaAguilar_,105904100,572914605707509761
